Name,Distance,Mass,Radius
54 Piscium,36.1,53,NAN
81 Cancri,66,-,NAN
AB Pictoris,66.6,13.5,NAN
CD−33°7795,163.08,20,NAN
CT Chamaeleontis,538,17,2.2
Eta Coronae Borealis,58.3,63,NAN
G 196-3,50.2,25,NAN
GD 165,103,-,NAN
Gliese 570,19.0,52,NAN
GU Piscium,155.3,11,NAN
HD 89744,126.2,-,NAN
HD 100546,337.25,20,NAN
HN Pegasi,58.3,28,1.01
LHS 4040,NAN,-,NAN
UScoCTIO 108,473,14,NAN
WD 0137-349,330,53,NAN
HD 41004 B,139,18.4,NAN
HD 283750,53.81,50,NAN
HD 149382,241,15.5,NAN
COROT-15,NAN,63.4,1.12
Xi Ursae Majoris B,25.11,37,NAN
Upsilon Andromedae,43.9,13.98,NAN
Gliese 758,51.9,23,NAN
HD 112758,53.81,35,NAN
BD−04°782,66.6,21,NAN
HD 110833,55.44,17,NAN
HD 89707,81.54,54,NAN
Tau Geminorum,302,18.1,NAN
HAT-P-13,698,15.2,NAN
HD 217580,58.7,60,NAN
HD 16760,163,14.3,NAN
HD 13189,603.4,14,NAN
HD 18445,83.92,39,NAN
HD 8673,124.75,14,NAN
NGC 4349-127,7097,19.8,NAN
Gliese 569,31.5,116,NAN
HD 29587,146.77,40,NAN
ChaHα8,522,18,NAN
COROT-20,4000,17,NAN
HD 168443,123.5,34,NAN
HD 38529 A,138,37,NAN
Epsilon Indi,11.8,28,NAN
HW Virginis,590,19.23,NAN
DT Virginis,37.55,12.5,1.1
HD 4113,136,60,NAN
Gliese 229,19,40,NAN
TYC 9486-927-1,111,13.3 (± 1.7)  ,NAN
Epsilon Indi,11.8,47,NAN
HD 131664,180.8,18.15,NAN
HD 136118,171,42,NAN
HD 140913,156.42,46,NAN
GQ Lupi,400,1-42,1.8
HD 162020,101.95,15.0,NAN
Nu Ophiuchi,152.8,21.9,NAN
HD 164427,127.52,46,NAN
SCR 1845-6357,12.57,40-50,NAN
COROT-3,2220,21.66,1.01
15 Sagittae,57.7,65,NAN
Zeta Delphini,220,55,NAN
HD 202206,151.14,17.4,NAN
