Name,Distance,Mass,Radius
Sun,G2,1,1
Sirius,A1,1.71´,25.4
Canopus,A9,71,"13,500"
Alpha Centauri,G2,1.2,2
Arcturus,K2,26,170
Vega,A0,2.7,50
Capella,G8,12,150
Rigel,B8,78.9,"120,000"
Procyon,F5,1.9,7.7
Betelgeuse,M2,950,"60,000"
Achernar,B3,9.3,"3,000"
Hadar,B1,8.6,"42,000"
Altair,A7,1.8,10.5
Acrux,B0.5,8.9,"25,000"
Aldebaran,K5,44,520
Antares,M1.5,680,"75,000"
Spica,B1,7.47,"20,512"
Pollux,K0,8.8,43
Fomalhaut,A3,1.8,16.6
Deneb,A2,203,"200,000"
Mimosa,B0.5,8.4,"34,000"
Regulus,B7,3.1,290
Adhara,B2,14,"39,000"
Shaula,B2,8.8,"36,000"
Castor,A1,2.4,30
Gacrux,M3.5,84,820
Bellatrix,B2,5.8,"9,200"
Elnath,B7,4.2,700
Miaplacidus,A1,6.8,290
Alnilam,B0,42,"380,000"
Gamma Velorum,WC8,6,"170,000"
Alnair,B7,3.4,260
Alioth,A1,4.2,110
Alnitak,O9.7,20,"120,000"
Dubhe,G9,30,300
Mirfak,F5,68,"5,000"
Wezen,F8,200,"82,000"
Sargas,F0,26,"1,800"
Kaus Australis,B9.5,6.8,360
Avior,K3,130,"60,000"
Alkaid,B3,3.4,"1,350"
Menkalinan,A1,2.77,50
Alhena,A1.5,3.3,120
[2],A1,2.9,90
Mirzam,B1,10,"27,000"
Polaris,F8,39,"2,500"
Alphard,K3,50,780
Mintaka,O9.5,16.5,"190,000"
Scheat,M2.5,95,"1,500"
Almaaz,F0,140,"43,000"
Rasalgethi,M5,280,"8,300"
Tau Ceti,G8,0.893,0.52
Delta Pavonis,G8,1.22,1.22
Ran,K2,0.74,0.34
V382 Carinae,G2,485,"212,000"
Eta Carinae,O,60–881,"5,000,000"
Delta Cephei,F5,44.5,"2,000"
Mu Cephei,M2,972,"135,000"
Titawin,F8,1.48,3.57
Rho Cassiopeiae,G2,636-981,"347,000 - 530,000"
P Cygni,B1,76,"610,000"
La Superba,C5,129 - 342,"2,472 - 5,800"
VV Cephei,M2,"516 - 1,050","200,000"
61 Cygni,K5,0.665,0.153
R Doradus,M8,298,"4,350"
Polaris Australis,F0,3.74,38
R Coronae Borealis,G0,85,"10,000"
54 Piscium,K0,0.94,0.52
Mira,M7,370,"9,000"
RW Cephei,K2,"1,158","417,000"
Lacaille 8760,M0,0.51,0.072
V838 Monocerotis,M6,380 - 750,"15,000"
HD 140283,F?,1.4,3.83
II Pegasi,K2,3.4,1.06
VY Canis Majoris,M5,"1,420","178,000 - 270,000"
Pistol Star,B3,320,"1,700,000"
S Doradus,B8,380,"910,000"
UY Scuti,M4,755,"86,300 - 87,100"
Barnard's Star,M4,0.20,0.0035
Luhman 16,L7,?,?
Proxima Centauri,M6,0.15,0.0017
KIC 8462852,F3,1.58,4.68
R136a1,WN5,32,"8,710,000"
Melnick 42,O2,21.1,"3,600,000"
WR 102,WO2,0.39,"282,000"
VFTS 352,O5,14.47,"330,000"
YBP 1194,G5,0.99,0.98
Gliese 1214,M4.5,0.21,0.0033
NML Cygni,M6,"1,640 - 2,770","229,000"
VB 10,M8,0.10,0.0004
WOH G64,M5,"1,540 - 1,730","340-589,000"
TRAPPIST-1,M8,0.12,0.0005
2MASS J0523-1403,L2.5,0.086,0.00013
WISE 0855−0714,Y2,?,?
Icarus,B?,?,"850,000"
