,Star_name,Distance,Mass,Radius,Gravity
0,Sun,1.5813e-05,1.0,1.0,274.2691614595739
1,Sirius,8.6,21.0,171.0,0.19697179955032496
2,Canopus,310.0,15.0,71.0,0.8161153386021839
3,Alpha Centauri,4.4,11.0,12.0,20.95111650038412
4,Arcturus,37.0,11.0,26.0,4.462959727892475
5,Vega,25.0,22.0,27.0,8.276984296448047
6,Capella,43.0,26.0,12.0,49.52082081908974
7,Rigel,860.0,23.0,789.0,0.010133297854321701
8,Procyon,11.4,15.0,19.0,11.39622554541166
9,Betelgeuse,6401.0,20.0,950.0,0.006077986957552885
10,Achernar,144.0,67.0,93.0,2.124642596576651
11,Hadar,390.0,105.0,86.0,3.8937617567949245
12,Altair,17.0,18.0,18.0,15.237175636642997
13,Acrux,320.0,18.0,89.0,0.6232603088337749
14,Aldebaran,65.0,15.0,44.0,2.1250193294905007
15,Antares,600.0,12.0,680.0,0.0071177118025840995
16,Spica,260.0,1143.0,747.0,0.5618003500809001
17,Pollux,34.0,19.0,88.0,0.672922787671992
18,Fomalhaut,25.0,19.0,18.0,16.083685394234276
19,Deneb,2600.0,19.0,203.0,0.12645572733460908
20,Mimosa,350.0,16.0,84.0,0.6219255361895101
21,Regulus,77.0,38.0,31.0,10.845190567600218
22,Adhara,430.0,125.0,14.0,174.9165570532997
23,Shaula,700.0,145.0,88.0,5.135463379602043
24,Castor,52.0,28.0,24.0,13.332528682062621
25,Gacrux,88.0,15.0,84.0,0.5830551901776657
26,Bellatrix,240.0,86.0,58.0,7.011637302474244
27,Elnath,130.0,50.0,42.0,7.774069202368876
28,Miaplacidus,110.0,35.0,68.0,2.0759992757536954
29,Alnilam,2000.0,32.0,42.0,4.975404289516081
30,Gamma Velorum,1100.0,90.0,6.0,685.6729036489348
31,Alnair,101.0,40.0,34.0,9.490282403445466
32,Alioth,81.0,29.0,42.0,4.508960137373948
33,Alnitak,1050.0,33.0,20.0,22.62720582041485
34,Dubhe,120.0,425.0,30.0,129.51599291146547
35,Mirfak,590.0,85.0,68.0,5.041712526830403
36,Wezen,1600.0,17.0,200.0,0.11656439362031894
37,Sargas,270.0,57.0,26.0,23.12624586271555
38,Kaus Australis,140.0,35.0,68.0,2.0759992757536954
39,Avior,630.0,90.0,130.0,1.4606050018557193
40,Alkaid,104.0,61.0,34.0,14.472680665254336
41,Menkalinan,81.0,239.0,277.0,0.8543097080483021
42,Atria,390.0,7.0,92.0,0.22682941046987445
43,Alhena,109.0,28.0,33.0,7.0519159971240315
44,Peacock,180.0,59.0,48.0,7.023385645015131
45,Alsephina[2],80.0,24.0,29.0,7.826943965552645
46,Mirzam,500.0,135.0,10.0,370.26336797042484
47,Polaris,430.0,54.0,39.0,9.737366679038129
48,Alphard,180.0,30.0,50.0,3.2912299375148875
49,Mintaka,1200.0,24.0,165.0,0.24177997704425253
50,Scheat,196.0,21.0,95.0,0.6381886305430529
51,Almaaz,653.0,15.0,140.0,0.20989986846395964
52,Rasalgethi,360.0,28.0,280.0,0.09795327194984783
53,Tau Ceti,11.9,783.0,893.0,0.2692996711047934
54,Delta Pavonis,19.92,991.0,122.0,18.261269753187168
55,Ran,10.48,82.0,74.0,4.107025427261698
56,V382 Carinae,8900.0,20.0,485.0,0.023319728894426524
57,Eta Carinae,7500.0,100.0,470.5,0.12389612491270799
